areaCode,areaName,areaType,date,newAdmissions,newCasesBySpecimenDate
E92000001,England,nation,2020-06-15,365,937
E92000001,England,nation,2020-06-14,306,744
E92000001,England,nation,2020-06-13,265,788
E92000001,England,nation,2020-06-12,298,942
E92000001,England,nation,2020-06-11,330,911
E92000001,England,nation,2020-06-10,402,1078
E92000001,England,nation,2020-06-09,397,1054
E92000001,England,nation,2020-06-08,348,989
E92000001,England,nation,2020-06-07,323,666
E92000001,England,nation,2020-06-06,306,727
E92000001,England,nation,2020-06-05,380,1022
E92000001,England,nation,2020-06-04,458,1145
E92000001,England,nation,2020-06-03,491,1238
E92000001,England,nation,2020-06-02,553,1350
E92000001,England,nation,2020-06-01,522,1312
E92000001,England,nation,2020-05-31,446,988
E92000001,England,nation,2020-05-30,466,996
E92000001,England,nation,2020-05-29,499,1371
E92000001,England,nation,2020-05-28,570,1572
E92000001,England,nation,2020-05-27,589,1609
E92000001,England,nation,2020-05-26,578,1451
E92000001,England,nation,2020-05-25,498,1376
E92000001,England,nation,2020-05-24,497,1200
E92000001,England,nation,2020-05-23,504,1301
E92000001,England,nation,2020-05-22,638,1792
E92000001,England,nation,2020-05-21,715,2266
E92000001,England,nation,2020-05-20,732,2342
E92000001,England,nation,2020-05-19,752,2581
E92000001,England,nation,2020-05-18,733,2207
E92000001,England,nation,2020-05-17,673,1588
E92000001,England,nation,2020-05-16,671,1768
E92000001,England,nation,2020-05-15,738,2130
E92000001,England,nation,2020-05-14,763,2208
E92000001,England,nation,2020-05-13,804,2884
E92000001,England,nation,2020-05-12,844,2918
E92000001,England,nation,2020-05-11,866,3056
E92000001,England,nation,2020-05-10,756,2001
E92000001,England,nation,2020-05-09,798,1793
E92000001,England,nation,2020-05-08,743,2619
E92000001,England,nation,2020-05-07,998,3203
E92000001,England,nation,2020-05-06,1040,3259
E92000001,England,nation,2020-05-05,959,3135
E92000001,England,nation,2020-05-04,1063,2842
E92000001,England,nation,2020-05-03,1044,2632
E92000001,England,nation,2020-05-02,980,2742
